state,land_in_farms,year
California,23600,2025
Colorado,29300,2024
Colorado,29200,2025
Connecticut,370,2024
Connecticut,370,2025
Delaware,520,2024
Delaware,520,2025
Florida,9700,2024
Florida,9700,2025
Georgia,9900,2024
Georgia,9900,2025
Hawaii,1050,2024
Hawaii,1050,2025
Idaho,11500,2024
Idaho,11500,2025
Illinois,26300,2024
Illinois,26100,2025
Indiana,14500,2024
Indiana,14500,2025
Iowa,30000,2024
Iowa,29900,2025
Kansas,44800,2024
Kansas,44600,2025
Kentucky,12400,2024
Kentucky,12300,2025
Louisiana,8000,2024
Louisiana,8000,2025
Maine,1200,2024
Maine,1200,2025
Maryland,2000,2024
Maryland,2000,2025
Massachusetts,470,2024
Massachusetts,470,2025
Michigan,9400,2024
Michigan,9400,2025
Minnesota,25400,2024
Minnesota,25300,2025
Mississippi,10200,2024
Mississippi,10200,2025
Missouri,26900,2024
Missouri,26600,2025
Montana,57400,2024
Montana,57300,2025
Nebraska,44000,2024
Nebraska,43900,2025
Nevada,5900,2024
Nevada,5900,2025
New Hampshire,420,2024
New Hampshire,420,2025
New Jersey,700,2024
New Jersey,690,2025
New Mexico,38900,2024
New Mexico,38600,2025
New York,6500,2024
New York,6400,2025
North Carolina,8100,2024
North Carolina,8000,2025
North Dakota,38500,2024
North Dakota,38500,2025
Ohio,13500,2024
Ohio,13500,2025
Oklahoma,32900,2024
Oklahoma,32800,2025
Oregon,15300,2024
Oregon,15300,2025
Pennsylvania,7100,2024
Pennsylvania,7100,2025
Rhode Island,60,2024
Rhode Island,60,2025
South Carolina,4600,2024
South Carolina,4600,2025
South Dakota,42300,2024
South Dakota,42200,2025
Tennessee,10700,2024
Tennessee,10700,2025
Texas,125000,2024
Texas,125000,2025
Utah,10500,2024
Utah,10500,2025
Vermont,1200,2024
Vermont,1200,2025
Virginia,7300,2024
Virginia,7200,2025
Washington,13800,2024
Washington,13700,2025
West Virginia,3500,2024
West Virginia,3500,2025
Wisconsin,13800,2024
Wisconsin,13700,2025
Wyoming,28800,2024
Wyoming,28800,2025
