state,metric,units,year,value
Georgia,land_in_farms,"1,000 acres",2022,10000
Georgia,land_in_farms,"1,000 acres",2023,10000
Georgia,avg_farm_size,acres,2022,255
Georgia,avg_farm_size,acres,2023,256
Hawaii,num_farms,number,2022,6600
Hawaii,num_farms,number,2023,6600
Hawaii,land_in_farms,"1,000 acres",2022,1050
Hawaii,land_in_farms,"1,000 acres",2023,1050
Hawaii,avg_farm_size,acres,2022,159
Hawaii,avg_farm_size,acres,2023,159
Idaho,num_farms,number,2022,22900
Idaho,num_farms,number,2023,22600
Idaho,land_in_farms,"1,000 acres",2022,11500
Idaho,land_in_farms,"1,000 acres",2023,11500
Idaho,avg_farm_size,acres,2022,502
Idaho,avg_farm_size,acres,2023,509
Illinois,num_farms,number,2022,71100
Illinois,num_farms,number,2023,70700
Illinois,land_in_farms,"1,000 acres",2022,26300
Illinois,land_in_farms,"1,000 acres",2023,26300
Illinois,avg_farm_size,acres,2022,370
Illinois,avg_farm_size,acres,2023,372
Indiana,num_farms,number,2022,53600
Indiana,num_farms,number,2023,53300
Indiana,land_in_farms,"1,000 acres",2022,14600
Indiana,land_in_farms,"1,000 acres",2023,14600
Indiana,avg_farm_size,acres,2022,272
Indiana,avg_farm_size,acres,2023,274
Iowa,num_farms,number,2022,86900
Iowa,num_farms,number,2023,86800
Iowa,land_in_farms,"1,000 acres",2022,30000
Iowa,land_in_farms,"1,000 acres",2023,30000
Iowa,avg_farm_size,acres,2022,345
Iowa,avg_farm_size,acres,2023,346
Kansas,num_farms,number,2022,55700
Kansas,num_farms,number,2023,55500
Kansas,land_in_farms,"1,000 acres",2022,44800
Kansas,land_in_farms,"1,000 acres",2023,44800
Kansas,avg_farm_size,acres,2022,804
Kansas,avg_farm_size,acres,2023,807
Kentucky,num_farms,number,2022,69400
Kentucky,num_farms,number,2023,69100
Kentucky,land_in_farms,"1,000 acres",2022,12400
Kentucky,land_in_farms,"1,000 acres",2023,12400
Kentucky,avg_farm_size,acres,2022,179
Kentucky,avg_farm_size,acres,2023,179
Louisiana,num_farms,number,2022,25000
Louisiana,num_farms,number,2023,24800
Louisiana,land_in_farms,"1,000 acres",2022,8000
Louisiana,land_in_farms,"1,000 acres",2023,8000
Louisiana,avg_farm_size,acres,2022,320
Louisiana,avg_farm_size,acres,2023,323
Maine,num_farms,number,2022,7000
Maine,num_farms,number,2023,7000
Maine,land_in_farms,"1,000 acres",2022,1200
Maine,land_in_farms,"1,000 acres",2023,1200
Maine,avg_farm_size,acres,2022,171
Maine,avg_farm_size,acres,2023,171
Maryland,num_farms,number,2022,12600
Maryland,num_farms,number,2023,12600
Maryland,land_in_farms,"1,000 acres",2022,2000
Maryland,land_in_farms,"1,000 acres",2023,2000
Maryland,avg_farm_size,acres,2022,159
Maryland,avg_farm_size,acres,2023,159
Massachusetts,num_farms,number,2022,7100
Massachusetts,num_farms,number,2023,7100
Massachusetts,land_in_farms,"1,000 acres",2022,470
Massachusetts,land_in_farms,"1,000 acres",2023,470
Massachusetts,avg_farm_size,acres,2022,66
Massachusetts,avg_farm_size,acres,2023,66
Michigan,num_farms,number,2022,45600
Michigan,num_farms,number,2023,45300
Michigan,land_in_farms,"1,000 acres",2022,9500
Michigan,land_in_farms,"1,000 acres",2023,9500
Michigan,avg_farm_size,acres,2022,208
Michigan,avg_farm_size,acres,2023,210
Minnesota,num_farms,number,2022,65500
Minnesota,num_farms,number,2023,65300
Minnesota,land_in_farms,"1,000 acres",2022,25400
Minnesota,land_in_farms,"1,000 acres",2023,25400
Minnesota,avg_farm_size,acres,2022,388
Minnesota,avg_farm_size,acres,2023,389
Mississippi,num_farms,number,2022,31300
Mississippi,num_farms,number,2023,31100
Mississippi,land_in_farms,"1,000 acres",2022,10300
Mississippi,land_in_farms,"1,000 acres",2023,10300
Mississippi,avg_farm_size,acres,2022,329
Mississippi,avg_farm_size,acres,2023,331
Missouri,num_farms,number,2022,87900
Missouri,num_farms,number,2023,87600
Missouri,land_in_farms,"1,000 acres",2022,27000
Missouri,land_in_farms,"1,000 acres",2023,27000
Missouri,avg_farm_size,acres,2022,307
Missouri,avg_farm_size,acres,2023,308
Montana,num_farms,number,2022,24300
Montana,num_farms,number,2023,24300
Montana,land_in_farms,"1,000 acres",2022,57600
Montana,land_in_farms,"1,000 acres",2023,57600
Montana,avg_farm_size,acres,2022,2370
Montana,avg_farm_size,acres,2023,2370
Nebraska,num_farms,number,2022,44500
Nebraska,num_farms,number,2023,44400
Nebraska,land_in_farms,"1,000 acres",2022,44000
Nebraska,land_in_farms,"1,000 acres",2023,44000
Nebraska,avg_farm_size,acres,2022,989
Nebraska,avg_farm_size,acres,2023,991
Nevada,num_farms,number,2022,3100
Nevada,num_farms,number,2023,3100
Nevada,land_in_farms,"1,000 acres",2022,5900
Nevada,land_in_farms,"1,000 acres",2023,5900
Nevada,avg_farm_size,acres,2022,1903
Nevada,avg_farm_size,acres,2023,1903
New Hampshire,num_farms,number,2022,3950
New Hampshire,num_farms,number,2023,3950
New Hampshire,land_in_farms,"1,000 acres",2022,420
New Hampshire,land_in_farms,"1,000 acres",2023,420
New Hampshire,avg_farm_size,acres,2022,106
New Hampshire,avg_farm_size,acres,2023,106
New Jersey,num_farms,number,2022,10000
New Jersey,num_farms,number,2023,10000
New Jersey,land_in_farms,"1,000 acres",2022,700
New Jersey,land_in_farms,"1,000 acres",2023,700
New Jersey,avg_farm_size,acres,2022,70
New Jersey,avg_farm_size,acres,2023,70
New Mexico,num_farms,number,2022,20900
New Mexico,num_farms,number,2023,20900
New Mexico,land_in_farms,"1,000 acres",2022,39100
New Mexico,land_in_farms,"1,000 acres",2023,39100
New Mexico,avg_farm_size,acres,2022,1871
New Mexico,avg_farm_size,acres,2023,1871
New York,num_farms,number,2022,30700
New York,num_farms,number,2023,30700
New York,land_in_farms,"1,000 acres",2022,6500
New York,land_in_farms,"1,000 acres",2023,6500
New York,avg_farm_size,acres,2022,212
New York,avg_farm_size,acres,2023,212
North Carolina,num_farms,number,2022,42800
North Carolina,num_farms,number,2023,42500
North Carolina,land_in_farms,"1,000 acres",2022,8100
North Carolina,land_in_farms,"1,000 acres",2023,8100
North Carolina,avg_farm_size,acres,2022,189
North Carolina,avg_farm_size,acres,2023,191
North Dakota,num_farms,number,2022,25100
North Dakota,num_farms,number,2023,24800
North Dakota,land_in_farms,"1,000 acres",2022,38500
North Dakota,land_in_farms,"1,000 acres",2023,38500
North Dakota,avg_farm_size,acres,2022,1534
North Dakota,avg_farm_size,acres,2023,1552
Ohio,num_farms,number,2022,76000
Ohio,num_farms,number,2023,75800
Ohio,land_in_farms,"1,000 acres",2022,13700
Ohio,land_in_farms,"1,000 acres",2023,13700
Ohio,avg_farm_size,acres,2022,180
Ohio,avg_farm_size,acres,2023,181
Oklahoma,num_farms,number,2022,70300
Oklahoma,num_farms,number,2023,70300
Oklahoma,land_in_farms,"1,000 acres",2022,32900
Oklahoma,land_in_farms,"1,000 acres",2023,32900
Oklahoma,avg_farm_size,acres,2022,468
Oklahoma,avg_farm_size,acres,2023,468
Oregon,num_farms,number,2022,35500
Oregon,num_farms,number,2023,35500
Oregon,land_in_farms,"1,000 acres",2022,15300
Oregon,land_in_farms,"1,000 acres",2023,15300
Oregon,avg_farm_size,acres,2022,431
Oregon,avg_farm_size,acres,2023,431
Pennsylvania,num_farms,number,2022,49000
Pennsylvania,num_farms,number,2023,49000
Pennsylvania,land_in_farms,"1,000 acres",2022,7100
Pennsylvania,land_in_farms,"1,000 acres",2023,7100
Pennsylvania,avg_farm_size,acres,2022,145
Pennsylvania,avg_farm_size,acres,2023,145
Rhode Island,num_farms,number,2022,1050
Rhode Island,num_farms,number,2023,1050
Rhode Island,land_in_farms,"1,000 acres",2022,60
Rhode Island,land_in_farms,"1,000 acres",2023,60
Rhode Island,avg_farm_size,acres,2022,57
Rhode Island,avg_farm_size,acres,2023,57
South Carolina,num_farms,number,2022,22600
South Carolina,num_farms,number,2023,22600
South Carolina,land_in_farms,"1,000 acres",2022,4600
South Carolina,land_in_farms,"1,000 acres",2023,4600
South Carolina,avg_farm_size,acres,2022,204
South Carolina,avg_farm_size,acres,2023,204
South Dakota,num_farms,number,2022,28300
South Dakota,num_farms,number,2023,28300
South Dakota,land_in_farms,"1,000 acres",2022,42300
South Dakota,land_in_farms,"1,000 acres",2023,42300
South Dakota,avg_farm_size,acres,2022,1495
South Dakota,avg_farm_size,acres,2023,1495
Tennessee,num_farms,number,2022,63100
Tennessee,num_farms,number,2023,63100
Tennessee,land_in_farms,"1,000 acres",2022,10700
Tennessee,land_in_farms,"1,000 acres",2023,10700
Tennessee,avg_farm_size,acres,2022,170
Tennessee,avg_farm_size,acres,2023,170
Texas,num_farms,number,2022,231000
Texas,num_farms,number,2023,231000
Texas,land_in_farms,"1,000 acres",2022,125000
Texas,land_in_farms,"1,000 acres",2023,125000
Texas,avg_farm_size,acres,2022,541
Texas,avg_farm_size,acres,2023,541
Utah,num_farms,number,2022,17400
Utah,num_farms,number,2023,17400
Utah,land_in_farms,"1,000 acres",2022,10500
Utah,land_in_farms,"1,000 acres",2023,10500
Utah,avg_farm_size,acres,2022,603
Utah,avg_farm_size,acres,2023,603
Vermont,num_farms,number,2022,6500
Vermont,num_farms,number,2023,6500
Vermont,land_in_farms,"1,000 acres",2022,1200
Vermont,land_in_farms,"1,000 acres",2023,1200
Vermont,avg_farm_size,acres,2022,185
Vermont,avg_farm_size,acres,2023,185
Virginia,num_farms,number,2022,39000
Virginia,num_farms,number,2023,39000
Virginia,land_in_farms,"1,000 acres",2022,7300
Virginia,land_in_farms,"1,000 acres",2023,7300
Virginia,avg_farm_size,acres,2022,187
Virginia,avg_farm_size,acres,2023,187
Washington,num_farms,number,2022,32100
Washington,num_farms,number,2023,32000
Washington,land_in_farms,"1,000 acres",2022,13900
Washington,land_in_farms,"1,000 acres",2023,13900
Washington,avg_farm_size,acres,2022,433
Washington,avg_farm_size,acres,2023,434
West Virginia,num_farms,number,2022,22800
West Virginia,num_farms,number,2023,22800
West Virginia,land_in_farms,"1,000 acres",2022,3500
West Virginia,land_in_farms,"1,000 acres",2023,3500
West Virginia,avg_farm_size,acres,2022,154
West Virginia,avg_farm_size,acres,2023,154
Wisconsin,num_farms,number,2022,58500
Wisconsin,num_farms,number,2023,58500
Wisconsin,land_in_farms,"1,000 acres",2022,13800
Wisconsin,land_in_farms,"1,000 acres",2023,13800
Wisconsin,avg_farm_size,acres,2022,236
Wisconsin,avg_farm_size,acres,2023,236
Wyoming,num_farms,number,2022,10500
Wyoming,num_farms,number,2023,10500
Wyoming,land_in_farms,"1,000 acres",2022,28800
Wyoming,land_in_farms,"1,000 acres",2023,28800
Wyoming,avg_farm_size,acres,2022,2743
Wyoming,avg_farm_size,acres,2023,2743
